Temperature,Rank,ACovL,ACovB,CCovL,CCovB,CSR,PR,TC
0.0,0,76.77%,76.01%,75.37%,72.75%,94.31%,48.01%,1226
0.0,1,76.66%,76.31%,75.70%,74.69%,94.10%,46.91%,1231
0.0,2,77.39%,77.31%,76.21%,74.66%,94.96%,47.58%,1241
0.0,3,77.14%,76.48%,75.37%,72.42%,94.86%,47.86%,1238
0.0,4,77.43%,77.20%,76.31%,74.11%,94.80%,48.50%,1226
0.2,0,77.53%,76.26%,73.78%,71.62%,93.03%,45.68%,1263
0.2,1,77.40%,76.39%,73.62%,72.46%,93.86%,47.01%,1238
0.2,2,76.06%,73.89%,70.97%,66.78%,93.97%,45.86%,1195
0.2,3,78.45%,78.23%,75.50%,74.74%,93.89%,48.37%,1261
0.2,4,77.45%,77.14%,71.66%,72.80%,95.19%,48.90%,1226
0.4,0,77.21%,77.48%,73.36%,71.75%,92.94%,47.42%,1261
0.4,1,76.30%,75.02%,72.76%,70.38%,91.54%,46.75%,1230
0.4,2,76.30%,73.77%,68.69%,70.04%,93.42%,47.07%,1247
0.4,3,77.32%,75.57%,73.81%,71.93%,92.36%,46.78%,1256
0.4,4,77.34%,75.86%,73.61%,71.26%,93.62%,47.12%,1269
0.6,0,75.90%,74.70%,72.03%,71.11%,94.23%,47.79%,1247
0.6,1,75.31%,73.82%,70.71%,73.31%,91.48%,45.38%,1267
0.6,2,75.85%,71.96%,70.65%,67.76%,93.08%,48.06%,1213
0.6,3,75.52%,74.57%,71.90%,72.67%,90.85%,48.34%,1268
0.6,4,76.37%,75.51%,71.25%,72.16%,94.78%,46.18%,1284
0.8,0,76.61%,76.67%,72.45%,71.61%,93.55%,46.03%,1209
0.8,1,77.66%,75.91%,70.89%,72.01%,94.36%,45.92%,1224
0.8,2,76.44%,75.40%,73.07%,72.29%,92.68%,48.46%,1203
0.8,3,74.86%,73.71%,72.00%,69.69%,89.69%,43.58%,1241
0.8,4,77.02%,74.81%,71.25%,68.48%,91.65%,46.34%,1258
1.0,0,76.42%,72.98%,69.21%,69.52%,90.11%,43.61%,1223
1.0,1,74.66%,73.19%,69.43%,66.59%,90.11%,46.41%,1224
1.0,2,73.63%,72.18%,70.55%,62.29%,91.81%,46.43%,1233
1.0,3,72.23%,72.43%,67.15%,64.73%,89.24%,44.70%,1273
1.0,4,73.67%,72.28%,70.24%,70.25%,89.47%,44.34%,1254
